Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default P(X),Loss (X),X.P(X),Expected loss,,,,
5153,22.79,12.62%,0.0014,1991390.2,2787.94628,,,,,
5154,22.15,24.78%,0.0079,1666123,13162.3717,,,,,
5155,21.85,5.00%,0.0089,2075750,18474.175,,,,,
5156,0.54,6.17%,0.0092,50668.2,466.14744,,,,,
5157,19.33,8.31%,0.004,1772367.7,7089.4708,,,,,
5158,13.68,9.10%,0.0097,1243512,12062.0664,,,,,
5159,20.48,16.82%,0.0022,1703526.4,3747.75808,,,,,
5160,17.83,26.16%,0.0032,1316567.2,4213.01504,,,,,
5161,12.84,24.07%,0.0048,974941.2,4679.71776,,,,,
5162,21.17,27.29%,0.0037,1539270.7,5695.30159,,,,,
5163,23.74,1.38%,0.0024,2341238.8,5618.97312,,,,,
5164,18.9,0.55%,0.0025,1879605,4699.0125,,,,,
5165,14.86,26.57%,0.0002,1091169.8,218.23396,,,,,
5166,4.56,37.58%,0.0034,284635.2,967.75968,,,,,
5167,10.82,19.09%,0.0073,875446.2,6390.75726,,,,,
5168,5.12,13.09%,0.0094,444979.2,4182.80448,,,,,
5169,11.97,30.62%,0.0068,830478.6,5647.25448,,,,,
5170,10.95,0.38%,0.0018,1090839,1963.5102,,,,,
5171,11.1,2.83%,0.0085,1078587,9167.9895,,,,,
5172,0.43,29.10%,0.002,30487,60.974,,,,,
5173,10.43,4.26%,0.0046,998568.2,4593.41372,,,,,
5174,21.04,39.67%,0.0087,1269343.2,11043.28584,,,,,
5175,18.03,38.58%,0.0086,1107402.6,9523.66236,,,,,
5176,0.08,36.76%,0.0045,5059.2,22.7664,,,,,
5177,20.91,2.14%,0.0016,2046252.6,3274.00416,,,,,
5178,16.63,2.96%,0.0091,1613775.2,14685.35432,,,,,
5179,1.54,9.56%,0.002,139277.6,278.5552,,,,,
5180,5.23,0.25%,0.0053,521692.5,2764.97025,,,,,
5181,11.08,1.30%,0.0011,1093596,1202.9556,,,,,
5182,8.44,37.77%,0.0069,525221.2,3624.02628,,,,,
5183,15.72,33.24%,0.0048,1049467.2,5037.44256,,,,,
5184,4.63,15.41%,0.006,391651.7,2349.9102,,,,,
5185,0.81,29.67%,0.0032,56967.3,182.29536,,,,,
5186,18.82,8.57%,0.0073,1720712.6,12561.20198,,,,,
5187,19.79,16.33%,0.0003,1655829.3,496.74879,,,,,
5188,21.72,14.04%,0.0066,1867051.2,12322.53792,,,,,
5189,16.25,28.53%,0.0023,1161387.5,2671.19125,,,,,
5190,8.64,29.00%,0.0011,613440,674.784,,,,,
5191,10.87,29.53%,0.0084,766008.9,6434.47476,,,,,
5192,16.24,28.16%,0.0049,1166681.6,5716.73984,,,,,
5193,9.33,32.14%,0.0031,633133.8,1962.71478,,,,,
5194,15.47,24.68%,0.0023,1165200.4,2679.96092,,,,,
5195,22.88,1.71%,0.0014,2248875.2,3148.42528,,,,,
5196,13.79,0.34%,0.0037,1374311.4,5084.95218,,,,,
5197,9.48,18.50%,0.0055,772620,4249.41,,,,,
5198,15.28,8.23%,0.0093,1402245.6,13040.88408,,,,,
5199,3.06,36.64%,0,193881.6,0,,,,,
5200,4.37,23.65%,0.0033,333649.5,1101.04335,,,,,
5201,10.67,17.61%,0.0088,879101.3,7736.09144,,,,,
5202,19.24,22.83%,0.0067,1484750.8,9947.83036,,,,,
5203,9.02,35.50%,0.0013,581790,756.327,,,,,
5204,14.41,26.99%,0.0057,1052074.1,5996.82237,,,,,
5205,16.16,36.45%,0.0007,1026968,718.8776,,,,,
5206,5.33,21.39%,0.0013,418991.3,544.68869,,,,,
5207,8.47,8.02%,0.0022,779070.6,1713.95532,,,,,
5208,17.07,2.46%,0.009,1665007.8,14985.0702,,,,,
5209,18.7,29.61%,0.0068,1316293,8950.7924,,,,,
5210,3.78,35.58%,0,243507.6,0,,,,,
5211,20.24,15.20%,0.0075,1716352,12872.64,,,,,
5212,22.21,38.70%,0.0002,1361473,272.2946,,,,,
5213,9.31,24.69%,0.0045,701136.1,3155.11245,,,,,
5214,8.86,25.44%,0.0003,660601.6,198.18048,,,,,
5215,1.96,24.46%,0.0038,148058.4,562.62192,,,,,
5216,4.79,36.29%,0.0005,305170.9,152.58545,,,,,
5217,15.71,34.57%,0.0033,1027905.3,3392.08749,,,,,
5218,1.58,35.24%,0.003,102320.8,306.9624,,,,,
5219,8.63,15.38%,0.0046,730270.6,3359.24476,,,,,
5220,6.39,26.63%,0.0064,468834.3,3000.53952,,,,,
5221,3.05,32.31%,0.0014,206454.5,289.0363,,,,,
5222,3.44,24.60%,0.0039,259376,1011.5664,,,,,
5223,6.53,19.49%,0.0058,525730.3,3049.23574,,,,,
5224,4.96,30.55%,0.0034,344472,1171.2048,,,,,
5225,6.21,23.89%,0.0087,472643.1,4111.99497,,,,,
5226,1.58,24.11%,0.0031,119906.2,371.70922,,,,,
5227,11.15,17.48%,0.0061,920098,5612.5978,,,,,
5228,7.64,15.25%,0.0073,647490,4726.677,,,,,
5229,24.61,9.29%,0.0097,2232373.1,21654.01907,,,,,
5230,4.92,11.08%,0.005,437486.4,2187.432,,,,,
5231,8.3,9.57%,0.0074,750569,5554.2106,,,,,
5232,10.46,8.41%,0.0027,958031.4,2586.68478,,,,,
5233,15.25,7.95%,0.0042,1403762.5,5895.8025,,,,,
5234,1.66,3.31%,0,160505.4,0,,,,,
5235,7.45,4.07%,0.0054,714678.5,3859.2639,,,,,
5236,10.56,19.11%,0.0028,854198.4,2391.75552,,,,,
5237,14.94,6.00%,0.0031,1404360,4353.516,,,,,
5238,21.64,6.70%,0.0037,2019012,7470.3444,,,,,
5239,7.59,27.17%,0.0078,552779.7,4311.68166,,,,,
5240,10.85,12.12%,0.0011,953498,1048.8478,,,,,
5241,9.09,4.81%,0.0051,865277.1,4412.91321,,,,,
5242,0.68,34.77%,0.0009,44356.4,39.92076,,,,,
5243,6.83,9.68%,0.0019,616885.6,1172.08264,,,,,
5244,2.14,14.86%,0.0003,182199.6,54.65988,,,,,
5245,18.34,1.06%,0.0027,1814559.6,4899.31092,,,,,
5246,11.33,4.13%,0.0081,1086207.1,8798.27751,,,,,
5247,21.6,29.31%,0.0022,1526904,3359.1888,,,,,
5248,3.97,5.33%,0.0001,375839.9,37.58399,,,,,
5249,7.53,8.29%,0.0025,690576.3,1726.44075,,,,,
5250,13.94,35.19%,0.0074,903451.4,6685.54036,,,,,
5251,7.71,10.09%,0.0027,693206.1,1871.65647,,,,,
5252,13.97,24.36%,0.0008,1056690.8,845.35264,,,,,
5253,10.67,8.85%,0.0075,972570.5,7294.27875,,,,,
5254,21.57,25.26%,0.0072,1612141.8,11607.42096,,,,,
5255,3.23,23.84%,0.0057,245996.8,1402.18176,,,,,
5256,20.79,36.15%,0.004,1327441.5,5309.766,,,,,
5257,23.44,16.16%,0.0068,1965209.6,13363.42528,,,,,
5258,2.75,24.81%,0.0004,206772.5,82.709,,,,,
5259,14.98,0.45%,0.007,1491259,10438.813,,,,,
5260,23.56,37.44%,0.0087,1473913.6,12823.04832,,,,,
5261,18.5,30.73%,0.0002,1281495,256.299,,,,,
5262,20.06,22.80%,0.0062,1548632,9601.5184,,,,,
5263,7.24,6.86%,0.0034,674333.6,2292.73424,,,,,
5264,7.78,24.60%,0.0013,586612,762.5956,,,,,
5265,22.09,12.70%,0.0065,1928457,12534.9705,,,,,
5266,21.02,12.44%,0.0021,1840511.2,3865.07352,,,,,
5267,24.08,13.97%,0.0026,2071602.4,5386.16624,,,,,
5268,22.12,20.00%,0.0034,1769600,6016.64,,,,,
5269,21.12,11.28%,0.0047,1873766.4,8806.70208,,,,,
5270,0.68,22.96%,0.0044,52387.2,230.50368,,,,,
5271,13.85,10.12%,0.0075,1244838,9336.285,,,,,
5272,9.02,8.17%,0.0014,828306.6,1159.62924,,,,,
5273,19.75,0.99%,0.0081,1955447.5,15839.12475,,,,,
5274,3.88,32.74%,0.0056,260968.8,1461.42528,,,,,
5275,0.26,4.01%,0.001,24957.4,24.9574,,,,,
5276,18.99,6.92%,0.0018,1767589.2,3181.66056,,,,,
5277,15.5,38.04%,0.003,960380,2881.14,,,,,
5278,14.17,2.46%,0.0003,1382141.8,414.64254,,,,,
5279,6.07,37.50%,0.0077,379375,2921.1875,,,,,
5280,22.08,14.67%,0.0003,1884086.4,565.22592,,,,,
5281,8.4,16.61%,0.0089,700476,6234.2364,,,,,
5282,14.6,34.01%,0.0001,963454,96.3454,,,,,
5283,1.48,24.58%,0.0047,111621.6,524.62152,,,,,
5284,5.49,35.32%,0.0008,355093.2,284.07456,,,,,
5285,17.3,16.63%,0.0043,1442301,6201.8943,,,,,
5286,1.17,10.32%,0.0093,104925.6,975.80808,,,,,
5287,5.29,9.54%,0.0007,478533.4,334.97338,,,,,
5288,13.81,6.87%,0.0001,1286125.3,128.61253,,,,,
5289,14.77,18.33%,0.0074,1206265.9,8926.36766,,,,,
5290,2.43,6.28%,0.0084,227739.6,1913.01264,,,,,
5291,14.62,22.27%,0.003,1136412.6,3409.2378,,,,,
5292,19.87,2.31%,0.0018,1941100.3,3493.98054,,,,,
5293,16.09,11.04%,0.0087,1431366.4,12452.88768,,,,,
5294,7.03,4.79%,0.001,669326.3,669.3263,,,,,
5295,2.62,6.89%,0.0061,243948.2,1488.08402,,,,,
5296,6.35,9.99%,0.0008,571563.5,457.2508,,,,,
5297,5.28,14.59%,0.006,450964.8,2705.7888,,,,,
5298,19.73,8.25%,0.0051,1810227.5,9232.16025,,,,,
5299,17.64,39.16%,0.0091,1073217.6,9766.28016,,,,,
5300,7.39,5.81%,0.0001,696064.1,69.60641,,,,,
5301,24.79,15.88%,0.0046,2085334.8,9592.54008,,,,,
5302,4.35,30.81%,0.0046,300976.5,1384.4919,,,,,
5303,15.14,4.08%,0.0041,1452228.8,5954.13808,,,,,
5304,11.36,9.73%,0.0008,1025467.2,820.37376,,,,,
5305,14.14,10.52%,0.0035,1265247.2,4428.3652,,,,,
5306,9.62,13.28%,0.0023,834246.4,1918.76672,,,,,
5307,18.07,1.52%,0.0047,1779533.6,8363.80792,,,,,
5308,17.4,25.76%,0.0091,1291776,11755.1616,,,,,
5309,12.42,12.69%,0.0041,1084390.2,4445.99982,,,,,
5310,9.61,37.49%,0.0023,600721.1,1381.65853,,,,,
5311,9.11,20.89%,0.0065,720692.1,4684.49865,,,,,
5312,7.97,39.04%,0.0021,485851.2,1020.28752,,,,,
5313,17.94,31.31%,0.0053,1232298.6,6531.18258,,,,,
5314,2.4,7.61%,0.0009,221736,199.5624,,,,,
5315,7.93,15.48%,0.0033,670243.6,2211.80388,,,,,
5316,2.21,9.61%,0.0021,199761.9,419.49999,,,,,
5317,14.8,9.86%,0.0092,1334072,12273.4624,,,,,
5318,16.79,9.21%,0,1524364.1,0,,,,,
5319,16.88,9.48%,0.0053,1527977.6,8098.28128,,,,,
5320,10.62,34.12%,0.0051,699645.6,3568.19256,,,,,
5321,7.22,13.93%,0.0084,621425.4,5219.97336,,,,,
5322,13.45,5.54%,0.0081,1270487,10290.9447,,,,,
5323,18.01,28.37%,0.0094,1290056.3,12126.52922,,,,,
5324,9.4,9.61%,0.0094,849666,7986.8604,,,,,
5325,19.06,30.22%,0.0032,1330006.8,4256.02176,,,,,
5326,17.55,39.76%,0.0095,1057212,10043.514,,,,,
5327,5.44,2.53%,0.0076,530236.8,4029.79968,,,,,
5328,1.23,20.62%,0.0095,97637.4,927.5553,,,,,
5329,7.58,29.13%,0.0046,537194.6,2471.09516,,,,,
5330,2.18,18.20%,0.0024,178324,427.9776,,,,,
5331,14.52,1.09%,0.0098,1436173.2,14074.49736,,,,,
5332,22.15,11.21%,0.0016,1966698.5,3146.7176,,,,,
5333,18.03,22.07%,0.0047,1405077.9,6603.86613,,,,,
5334,7.97,19.05%,0.0062,645171.5,4000.0633,,,,,
5335,9.64,30.79%,0.0093,667184.4,6204.81492,,,,,
5336,7.29,18.48%,0.0058,594280.8,3446.82864,,,,,
5337,8.83,20.07%,0.0041,705781.9,2893.70579,,,,,
5338,20.86,19.98%,0.0059,1669217.2,9848.38148,,,,,
5339,24.08,5.26%,0.0013,2281339.2,2965.74096,,,,,
5340,17.21,8.59%,0.0079,1573166.1,12428.01219,,,,,
5341,9.12,17.74%,0.0071,750211.2,5326.49952,,,,,
5342,19.19,13.98%,0.0018,1650723.8,2971.30284,,,,,
5343,20.54,15.26%,0.0052,1740559.6,9050.90992,,,,,
5344,5.39,35.90%,0.0079,345499,2729.4421,,,,,
5345,4.24,5.03%,0.0075,402672.8,3020.046,,,,,
5346,22.36,1.59%,0.0041,2200447.6,9021.83516,,,,,
5347,0.58,3.49%,0.0054,55975.8,302.26932,,,,,
5348,17.23,28.24%,0.0011,1236424.8,1360.06728,,,,,
5349,2.05,0.10%,0.0055,204795,1126.3725,,,,,
5350,4.82,2.39%,0.0063,470480.2,2964.02526,,,,,
5351,21.3,4.50%,0.0019,2034150,3864.885,,,,,
5352,4.52,12.37%,0.0092,396087.6,3644.00592,,,,,
5353,22.5,35.43%,0.0086,1452825,12494.295,,,,,
5354,4.64,33.40%,0.001,309024,309.024,,,,,
5355,9.87,30.09%,0.0013,690011.7,897.01521,,,,,
5356,20.54,18.64%,0.0077,1671134.4,12867.73488,,,,,
5357,5.09,2.34%,0.0001,497089.4,49.70894,,,,,
5358,17.9,38.64%,0.0088,1098344,9665.4272,,,,,
5359,16.88,13.78%,0.0062,1455393.6,9023.44032,,,,,
5360,8.92,13.01%,0.0049,775950.8,3802.15892,,,,,
5361,4.1,2.16%,0.0064,401144,2567.3216,,,,,
5362,12.86,12.25%,0.0084,1128465,9479.106,,,,,
5363,13.5,6.70%,0.0018,1259550,2267.19,,,,,
5364,12.48,32.95%,0.0025,836784,2091.96,,,,,
5365,18.05,4.10%,0.0066,1730995,11424.567,,,,,
5366,6.04,3.29%,0.0033,584128.4,1927.62372,,,,,
5367,12.87,15.95%,0.0003,1081723.5,324.51705,,,,,
5368,2.09,4.41%,0.0026,199783.1,519.43606,,,,,
5369,22.89,18.78%,0.0078,1859125.8,14501.18124,,,,,
5370,16.28,2.03%,0.0024,1594951.6,3827.88384,,,,,
5371,14,33.99%,0.004,924140,3696.56,,,,,
5372,4.97,17.36%,0.0022,410720.8,903.58576,,,,,
5373,10.53,7.89%,0.0007,969918.3,678.94281,,,,,
5374,1.26,6.02%,0.0049,118414.8,580.23252,,,,,
5375,11.11,0.14%,0.0032,1109444.6,3550.22272,,,,,
5376,4.19,3.79%,0.0037,403119.9,1491.54363,,,,,
5377,1.89,29.18%,0.0075,133849.8,1003.8735,,,,,
5378,18.77,11.29%,0.0012,1665086.7,1998.10404,,,,,
5379,9.05,16.57%,0.0078,755041.5,5889.3237,,,,,
5380,19.47,20.01%,0.002,1557405.3,3114.8106,,,,,
5381,21.37,16.35%,0.0031,1787600.5,5541.56155,,,,,
5382,6.32,39.98%,0.0055,379326.4,2086.2952,,,,,
5383,13.94,2.85%,0.0036,1354271,4875.3756,,,,,
5384,22.39,23.52%,0.0078,1712387.2,13356.62016,,,,,
5385,23.56,9.17%,0.0038,2139954.8,8131.82824,,,,,
5386,21.24,24.15%,0.0041,1611054,6605.3214,,,,,
5387,2.15,4.16%,0.0059,206056,1215.7304,,,,,
5388,22.48,35.33%,0.0016,1453781.6,2326.05056,,,,,
5389,14.59,33.98%,0.0083,963231.8,7994.82394,,,,,
5390,4.38,20.05%,0.0033,350181,1155.5973,,,,,
5391,23.65,23.74%,0.0066,1803549,11903.4234,,,,,
5392,3.48,36.97%,0.0019,219344.4,416.75436,,,,,
5393,12.62,11.72%,0.009,1114093.6,10026.8424,,,,,
5394,9.18,4.39%,0.0074,877699.8,6494.97852,,,,,
5395,24.53,7.27%,0.0084,2274666.9,19107.20196,,,,,
5396,24.46,4.82%,0.0004,2328102.8,931.24112,,,,,
5397,2.08,5.26%,0.0047,197059.2,926.17824,,,,,
5398,6.42,20.07%,0.0057,513150.6,2924.95842,,,,,
5399,21.27,35.75%,0.0081,1366597.5,11069.43975,,,,,
5400,11.5,23.60%,0.0087,878600,7643.82,,,,,
5401,19.37,22.10%,0.0024,1508923,3621.4152,,,,,
5402,6,14.43%,0.0018,513420,924.156,,,,,
5403,4.55,15.95%,0.0096,382427.5,3671.304,,,,,
5404,9.47,4.71%,0.0049,902396.3,4421.74187,,,,,
5405,23.11,17.78%,0.0085,1900104.2,16150.8857,,,,,
5406,21.03,1.02%,0.0037,2081549.4,7701.73278,,,,,
5407,24.53,4.24%,0.0032,2348992.8,7516.77696,,,,,
5408,9.11,5.30%,0.0027,862717,2329.3359,,,,,
5409,16.95,24.40%,0.0006,1281420,768.852,,,,,
5410,16.54,33.13%,0.0094,1106029.8,10396.68012,,,,,
5411,0.94,35.83%,0.0048,60319.8,289.53504,,,,,
5412,2.29,6.03%,0.0046,215191.3,989.87998,,,,,
5413,3.58,36.18%,0.0071,228475.6,1622.17676,,,,,
5414,8.25,12.18%,0.0043,724515,3115.4145,,,,,
5415,0.72,15.46%,0.0056,60868.8,340.86528,,,,,
5416,10.28,12.67%,0.0068,897752.4,6104.71632,,,,,
5417,17.33,37.44%,0.0017,1084164.8,1843.08016,,,,,
5418,2.35,5.02%,0.0013,223203,290.1639,,,,,
5419,11.83,10.51%,0.0088,1058666.7,9316.26696,,,,,
5420,23.03,4.51%,0.0001,2199134.7,219.91347,,,,,
5421,13.45,31.75%,0.0058,917962.5,5324.1825,,,,,
5422,20.84,27.57%,0.0084,1509441.2,12679.30608,,,,,
5423,11.1,0.09%,0.0098,1109001,10868.2098,,,,,
5424,8.33,24.35%,0.0096,630164.5,6049.5792,,,,,
5425,0.19,24.80%,0.0057,14288,81.4416,,,,,
5426,13.06,16.27%,0.0008,1093513.8,874.81104,,,,,
5427,14.91,20.28%,0.0004,1188625.2,475.45008,,,,,
5428,22.3,16.01%,0.0029,1872977,5431.6333,,,,,
5429,21.5,28.88%,0.0095,1529080,14526.26,,,,,
5430,9.34,28.97%,0.0099,663420.2,6567.85998,,,,,
5431,0.15,31.33%,0.0041,10300.5,42.23205,,,,,
5432,7.58,8.82%,0.0075,691144.4,5183.583,,,,,
5433,10.87,31.86%,0.0082,740681.8,6073.59076,,,,,
5434,17.23,37.09%,0.0095,1083939.3,10297.42335,,,,,
5435,6.03,29.98%,0.0071,422220.6,2997.76626,,,,,
5436,16.08,20.70%,0.0092,1275144,11731.3248,,,,,
5437,1.28,11.39%,0.0012,113420.8,136.10496,,,,,
5438,14.67,25.73%,0.0067,1089540.9,7299.92403,,,,,
5439,18.24,12.26%,0.0096,1600377.6,15363.62496,,,,,
5440,24,35.08%,0,1558080,0,,,,,
5441,2.71,35.37%,0.0005,175147.3,87.57365,,,,,
5442,11.86,39.91%,0.0054,712667.4,3848.40396,,,,,
5443,13.42,33.55%,0.0038,891759,3388.6842,,,,,
5444,8.78,17.69%,0.0079,722681.8,5709.18622,,,,,
5445,2.05,3.45%,0.0008,197927.5,158.342,,,,,
5446,23.76,20.71%,0.0062,1883930.4,11680.36848,,,,,
5447,20.96,17.59%,0.0028,1727313.6,4836.47808,,,,,
5448,3.86,7.42%,0.0084,357358.8,3001.81392,,,,,
5449,13.33,37.79%,0.0033,829259.3,2736.55569,,,,,
5450,23.22,13.94%,0.01,1998313.2,19983.132,,,,,
5451,9.92,4.66%,0.0041,945772.8,3877.66848,,,,,
5452,17.4,19.80%,0.0031,1395480,4325.988,,,,,
5453,4.89,9.46%,0.0065,442740.6,2877.8139,,,,,
5454,7.3,29.24%,0.0059,516548,3047.6332,,,,,
5455,12.28,37.64%,0.0087,765780.8,6662.29296,,,,,
5456,13.44,18.65%,0.0019,1093344,2077.3536,,,,,
5457,3.17,5.66%,0.0094,299057.8,2811.14332,,,,,
5458,21.47,5.12%,0.0095,2037073.6,19352.1992,,,,,
5459,6.85,8.93%,0.0025,623829.5,1559.57375,,,,,
5460,0.67,28.91%,0.0017,47630.3,80.97151,,,,,
5461,21.59,14.14%,0.0036,1853717.4,6673.38264,,,,,
5462,22.37,15.97%,0.001,1879751.1,1879.7511,,,,,
5463,9.27,38.94%,0.0058,566026.2,3282.95196,,,,,
5464,22.91,27.32%,0.002,1665098.8,3330.1976,,,,,
5465,10.78,23.02%,0.0015,829844.4,1244.7666,,,,,
5466,13.78,30.50%,0.0015,957710,1436.565,,,,,
5467,3.93,30.09%,0.0089,274746.3,2445.24207,,,,,
5468,18.65,22.70%,0.0069,1441645,9947.3505,,,,,
5469,8.23,28.91%,0.0097,585070.7,5675.18579,,,,,
5470,20.17,16.95%,0.0067,1675118.5,11223.29395,,,,,
5471,6.72,28.40%,0.0022,481152,1058.5344,,,,,
5472,19.56,11.52%,0.0061,1730668.8,10557.07968,,,,,
5473,8.88,26.47%,0.0022,652946.4,1436.48208,,,,,
5474,20.13,12.91%,0.0025,1753121.7,4382.80425,,,,,
5475,19.46,15.20%,0.0084,1650208,13861.7472,,,,,
5476,24.82,7.79%,0.0081,2288652.2,18538.08282,,,,,
5477,20.77,26.54%,0.0045,1525764.2,6865.9389,,,,,
5478,18.3,30.08%,0.0023,1279536,2942.9328,,,,,
5479,8.02,22.11%,0.0009,624677.8,562.21002,,,,,
5480,2.1,34.97%,0.0091,136563,1242.7233,,,,,
5481,1.08,24.02%,0.0036,82058.4,295.41024,,,,,
5482,18.59,5.02%,0.0092,1765678.2,16244.23944,,,,,
5483,18.36,0.39%,0.0047,1828839.6,8595.54612,,,,,
5484,10.73,20.24%,0.0032,855824.8,2738.63936,,,,,
5485,15.05,35.73%,0.0067,967263.5,6480.66545,,,,,
5486,8.2,18.79%,0.001,665922,665.922,,,,,
5487,9.89,20.00%,0.0051,791200,4035.12,,,,,
5488,4.83,24.55%,0.0079,364423.5,2878.94565,,,,,
5489,18.7,2.84%,0.0043,1816892,7812.6356,,,,,
5490,8.97,28.84%,0.0096,638305.2,6127.72992,,,,,
5491,5.65,38.18%,0.0065,349283,2270.3395,,,,,
5492,16.8,35.33%,0.0092,1086456,9995.3952,,,,,
5493,18.76,31.86%,0.0068,1278306.4,8692.48352,,,,,
5494,12.82,36.55%,0.0087,813429,7076.8323,,,,,
5495,10.93,21.25%,0,860737.5,0,,,,,
5496,14.85,23.75%,0.0003,1132312.5,339.69375,,,,,
5497,0.15,24.04%,0.0005,11394,5.697,,,,,
5498,23.01,18.66%,0.0058,1871633.4,10855.47372,,,,,
5499,18.94,5.48%,0.0065,1790208.8,11636.3572,,,,,
5500,5.82,19.72%,0.0012,467229.6,560.67552,,,,,
5501,12.78,22.53%,0.0009,990066.6,891.05994,,,,,
5502,5.81,3.12%,0.0004,562872.8,225.14912,,,,,
5503,8.54,32.26%,0.0061,578499.6,3528.84756,,,,,
5504,12.81,2.49%,0.0016,1249103.1,1998.56496,,,,,
5505,14.67,30.51%,0.0092,1019418.3,9378.64836,,,,,
5506,8.99,33.98%,0.0049,593519.8,2908.24702,,,,,
5507,12,23.59%,0.0091,916920,8343.972,,,,,
5508,6.77,34.89%,0.0083,440794.7,3658.59601,,,,,
5509,14.19,19.62%,0,1140592.2,0,,,,,
5510,7.45,17.28%,0.0021,616264,1294.1544,,,,,
5511,8.02,39.80%,0.0049,482804,2365.7396,,,,,
5512,10.33,35.12%,0.0017,670210.4,1139.35768,,,,,
5513,4.45,25.85%,0.0085,329967.5,2804.72375,,,,,
5514,13.11,36.38%,0.0084,834058.2,7006.08888,,,,,
5515,1.14,29.85%,0.001,79971,79.971,,,,,
5516,11.03,25.61%,0.0019,820521.7,1558.99123,,,,,
5517,2.87,9.35%,0.0018,260165.5,468.2979,,,,,
5518,5.37,3.59%,0.0033,517721.7,1708.48161,,,,,
5519,0.18,28.79%,0.0046,12817.8,58.96188,,,,,
5520,2.23,25.46%,0.0057,166224.2,947.47794,,,,,
5521,2.02,28.18%,0.0034,145076.4,493.25976,,,,,
5522,7.32,6.38%,0.0044,685298.4,3015.31296,,,,,
5523,0.56,31.93%,0.0079,38119.2,301.14168,,,,,
5524,14.67,27.25%,0.0097,1067242.5,10352.25225,,,,,
5525,13.99,3.53%,0.0039,1349615.3,5263.49967,,,,,
5526,9.89,12.39%,0.0047,866462.9,4072.37563,,,,,
5527,21.07,24.61%,0.0077,1588467.3,12231.19821,,,,,
5528,1.99,9.52%,0.0044,180055.2,792.24288,,,,,
5529,4.1,5.74%,0.0096,386466,3710.0736,,,,,
5530,2.56,31.00%,0.0051,176640,900.864,,,,,
5531,4.26,27.06%,0.0084,310724.4,2610.08496,,,,,
5532,11.07,5.71%,0.0019,1043790.3,1983.20157,,,,,
5533,20.72,4.41%,0.006,1980624.8,11883.7488,,,,,
5534,24.34,10.23%,0.0015,2185001.8,3277.5027,,,,,
5535,2.64,25.17%,0.0017,197551.2,335.83704,,,,,
5536,6.12,38.76%,0.003,374788.8,1124.3664,,,,,
5537,24.77,20.28%,0.0012,1974664.4,2369.59728,,,,,
5538,16.87,13.78%,0.0036,1454531.4,5236.31304,,,,,
5539,17.71,32.54%,0.0072,1194716.6,8601.95952,,,,,
5540,3.27,34.77%,0.0061,213302.1,1301.14281,,,,,
5541,9.44,3.11%,0.0005,914641.6,457.3208,,,,,
5542,15.13,39.99%,0.0006,907951.3,544.77078,,,,,
5543,6.05,15.78%,0.0066,509531,3362.9046,,,,,
5544,0.73,16.19%,0.0026,61181.3,159.07138,,,,,
5545,16.11,27.73%,0.0047,1164269.7,5472.06759,,,,,
5546,18.11,12.28%,0.0084,1588609.2,13344.31728,,,,,
5547,19.78,38.48%,0.0014,1216865.6,1703.61184,,,,,
5548,19.29,34.07%,0.0084,1271789.7,10683.03348,,,,,
5549,7.69,30.34%,0.0058,535685.4,3106.97532,,,,,
5550,3.85,20.21%,0.0081,307191.5,2488.25115,,,,,
5551,8.52,20.53%,0.0046,677084.4,3114.58824,,,,,
5552,21.72,26.04%,0.0081,1606411.2,13011.93072,,,,,
5553,18.22,35.71%,0.0094,1171363.8,11010.81972,,,,,
5554,4.07,33.58%,0.0088,270329.4,2378.89872,,,,,
5555,13.44,15.87%,0.0038,1130707.2,4296.68736,,,,,
5556,21.17,39.96%,0.0034,1271046.8,4321.55912,,,,,
5557,12.01,24.87%,0.0069,902311.3,6225.94797,,,,,
5558,17.38,9.42%,0.0045,1574280.4,7084.2618,,,,,
5559,1.19,35.81%,0.0082,76386.1,626.36602,,,,,
5560,11.06,27.35%,0.0004,803509,321.4036,,,,,
5561,15.6,27.45%,0.0082,1131780,9280.596,,,,,
5562,20.5,6.08%,0.007,1925360,13477.52,,,,,
5563,6.69,6.72%,0.0065,624043.2,4056.2808,,,,,
5564,4.21,10.68%,0.0067,376037.2,2519.44924,,,,,
5565,21.56,31.89%,0.0068,1468451.6,9985.47088,,,,,
5566,8.3,16.44%,0.0049,693548,3398.3852,,,,,
5567,1.42,18.19%,0.0077,116170.2,894.51054,,,,,
5568,17.86,31.03%,0.0069,1231804.2,8499.44898,,,,,
5569,20.31,34.74%,0.0072,1325430.6,9543.10032,,,,,
5570,5.29,3.53%,0.0015,510326.3,765.48945,,,,,
5571,3.33,31.48%,0.0061,228171.6,1391.84676,,,,,
5572,10.1,29.25%,0.0049,714575,3501.4175,,,,,
5573,15.09,9.37%,0.006,1367606.7,8205.6402,,,,,
5574,5.36,26.77%,0.0089,392512.8,3493.36392,,,,,
5575,18.81,12.37%,0.0033,1648320.3,5439.45699,,,,,
5576,13.05,7.96%,0.0084,1201122,10089.4248,,,,,
5577,16.34,14.02%,0.0086,1404913.2,12082.25352,,,,,
5578,22.46,20.38%,0.0007,1788265.2,1251.78564,,,,,
5579,20.63,11.46%,0.0014,1826580.2,2557.21228,,,,,
5580,23.97,15.28%,0.0019,2030738.4,3858.40296,,,,,
5581,6.19,19.84%,0.0043,496190.4,2133.61872,,,,,
